OBJECTID,COUNTY_NAME,MUNI_NAME,SWIS,PARCEL_ADDR,PRINT_KEY,SBL,CITYTOWN_NAME,CITYTOWN_SWIS,LOC_ST_NBR,LOC_STREET,LOC_UNIT,LOC_ZIP,PROP_CLASS,ROLL_SECTION,LAND_AV,TOTAL_AV,FULL_MARKET_VAL,YR_BLT,FRONT,DEPTH,SQ_FT,ACRES,SCHOOL_CODE,SCHOOL_NAME,SEWER_TYPE,SEWER_DESC,WATER_SUPPLY,WATER_DESC,UTILITIES,UTILITIES_DESC,BLDG_STYLE,BLDG_STYLE_DESC,HEAT_TYPE,HEAT_TYPE_DESC,FUEL_TYPE,FUEL_TYPE_DESC,SQFT_LIVING,GFA,NBR_KITCHENS,NBR_FULL_BATHS,NBR_BEDROOMS,USED_AS_CODE,USED_AS_DESC,AG_DIST_CODE,AG_DIST_NAME,PRIMARY_OWNER,MAIL_ADDR,PO_BOX,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ADD_OWNER,ADD_MAIL_ADDR,ADD_MAIL_PO_BOX,ADD_MAIL_CITY,ADD_MAIL_STATE,ADD_MAIL_ZIP,BOOK,PAGE,GRID_EAST,GRID_NORTH,MUNI_PARCEL_ID,SWIS_SBL_ID,SWIS_PRINT_KEY_ID,ROLL_YR,SPATIAL_YR,OWNER_TYPE,NYS_NAME,NYS_NAME_SOURCE,DUP_GEO,CALC_ACRES,Shape_Length,Shape_Area
2588,Bronx,Bronx,600100,983 SUMMIT AVENUE,,2025230166,Bronx,600100,983,SUMMIT AVENUE,,,02,,5850,858600,,1905,31,92,2870,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,9875,,,,,,,,983 SUMMIT AVE PARTNERS LLC,,,,,,,,,,,,,,1003410,242665,,2025230166,,2020,2020,8,,,,0.069810077791484,77.2494838628965,282.511361658711
2589,Bronx,Bronx,600100,979 SUMMIT AVENUE,,2025230169,Bronx,600100,979,SUMMIT AVENUE,,,03,,245250,2119500,,2016,79,88,7151,,09,,,,,,,,D9,Miscellaneous,,,,,,29606,,,,,,,,"979 SUMMIT REAL ESTATE, LLC",,,,,,,,,,,,,,1003389,242613,,2025230169,,2020,2020,8,,,,0.164419222237862,106.36643523468,665.380985479304
2590,Bronx,Bronx,600100,985 SUMMIT AVENUE,,2025230165,Bronx,600100,985,SUMMIT AVENUE,,,02,,24750,773550,,2014,31,92,2880,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,12740,,,,,,,,985 SUMMIT AVENUE LLC,,,,,,,,,,,,,,1003422,242693,,2025230165,,2020,2020,8,,,,0.0645839364690904,75.7819756153017,261.361918083812
2591,Bronx,Bronx,600100,950 UNIVERSITY AVENUE,,2025230061,Bronx,600100,950,UNIVERSITY AVENUE,,,06,,220500,4441500,,1929,453,175,42200,,09,,,,,,,,F2,"Special Construction (Printing Plant, etc., Fireproof)",,,,,,141170,,,,,,,,"HIGHBRIDGE RISING, LLC",,,,,,,,,,,,,,1003313,242636,,2025230061,,2020,2020,8,,,,0.966994397821931,388.426248642329,3913.2874892505
2592,Bronx,Bronx,600100,993 SUMMIT AVENUE,,2025230161,Bronx,600100,993,SUMMIT AVENUE,,,02,,5400,785250,,1905,29,92,2645,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,9032,,,,,,,,993 SUMMIT PARTNERS LLC,,,,,,,,,,,,,,1003470,242804,,2025230161,,2020,2020,8,,,,0.0624292346004683,75.1768829374329,252.642148988422
2593,Bronx,Bronx,600100,169 WEST 164 STREET,,2025250001,Bronx,600100,169,WEST 164 STREET,,,04,,9000,336600,,1906,100,25,2500,,09,,,,,,,,C7,Over Six Families with Stores,,,,,,13500,,,,,,,,DEEGAN HOLDING LLC,,,,,,,,,,,,,,1003639,242843,,2025250001,,2020,2020,8,,,,0.0595136226495187,74.3918818758723,240.843086039495
2594,Bronx,Bronx,600100,1001 OGDEN AVENUE,,2025250042,Bronx,600100,1001,OGDEN AVENUE,,,05,,31500,426150,,1922,75,90,6750,,09,,,,,,,,K1,One Story Store Building,,,,,,6750,,,,,,,,1001 O LLC,,,,,,,,,,,,,,1003738,242828,,2025250042,,2020,2020,8,,,,0.171777899608806,106.271164727527,695.16049625828
2595,Bronx,Bronx,600100,1007 OGDEN AVENUE,,2025250039,Bronx,600100,1007,OGDEN AVENUE,,,05,,28350,263700,,1929,70,90,6300,,09,,,,,,,,K1,One Story Store Building,,,,,,4200,,,,,,,,"1005-11 OGDEN COMPANY, LLC",,,,,,,,,,,,,,1003767,242896,,2025250039,,2020,2020,8,,,,0.161215749906864,103.405795740461,652.416992902626
2596,Bronx,Bronx,600100,989 OGDEN AVENUE,,2025240056,Bronx,600100,989,OGDEN AVENUE,,,02,,117900,339750,,2016,75,90,3375,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,9000,,,,,,,,GLOBAL VIEW APARTMENTS LLC,,,,,,,,,,,,,,1003670,242655,,2025240056,,2020,2020,8,,,,0.0821068485657014,80.5507392062375,332.274627441133
2597,Bronx,Bronx,600100,985 OGDEN AVENUE,,2025240059,Bronx,600100,985,OGDEN AVENUE,,,02,,11760,40260,,1901,25,90,2250,,09,,,,,,,,C0,Three Families,,,,,,2943,,,,,,,,52 NY ASSETS LLC,,,,,,,,,,,,,,1003642,242591,,2025240059,,2020,2020,8,,,,0.0531959446373312,72.3964961339413,215.276350201219
2598,Bronx,Bronx,600100,1008 OGDEN AVENUE,,2025120004,Bronx,600100,1008,OGDEN AVENUE,,,11,,88200,88200,,0,25,127,3156,,09,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,1008 OGDEN REALTY LLC,,,,,,,,,,,,,,1003926,242804,,2025120004,,2020,2020,8,,,,0.0710484918447167,94.2009853959136,287.523045523626
2599,Bronx,Bronx,600100,1017 NELSON AVENUE,,2025120038,Bronx,600100,1017,NELSON AVENUE,,,02,,8820,37860,,1910,25,61,1517,,09,,,,,,,,C0,Three Families,,,,,,2610,,,,,,,,MADDOX PROPERTIES LLC,,,,,,,,,,,,,,1003989,242857,,2025120038,,2020,2020,8,,,,0.0374012559601171,55.6365610911532,151.357512888026
2600,Bronx,Bronx,600100,1016 NELSON AVENUE,,2025120052,Bronx,600100,1016,NELSON AVENUE,,,02,,9780,42120,,1901,25,69,1735,,09,,,,,,,,C0,Three Families,,,,,,2712,,,,,,,,1016 NELSON LLC,,,,,,,,,,,,,,1004115,242830,,2025120052,,2020,2020,8,,,,0.0399378955892684,57.2536675998134,161.622929262572
2601,Bronx,Bronx,600100,1007 WOODYCREST AVENUE,,2025120083,Bronx,600100,1007,WOODYCREST AVENUE,,,02,,12060,41640,,1899,25,91,2285,,09,,,,,,,,C0,Three Families,,,,,,2730,,,,,,,,1007 WOODYCREST AVE LLC,,,,,,,,,,,,,,1004158,242757,,2025120083,,2020,2020,8,,,,0.052115243158051,71.0142468433456,210.902906479096
2602,Bronx,Bronx,600100,1001 WOODYCREST AVENUE,,2025120045,Bronx,600100,1001,WOODYCREST AVENUE,,,03,,54000,1082700,,1939,91,159,13300,,09,,,,,,,,D1,Semi-fireproof (Without Stores),,,,,,63692,,,,,,,,1001 WOODYCREST LLC,,,,,,,,,,,,,,1004091,242697,,2025120045,,2020,2020,8,,,,0.300986491901103,141.272859818567,1218.04911780562
2603,Bronx,Bronx,600100,1022 WOODYCREST AVENUE,,2025080012,Bronx,600100,1022,WOODYCREST AVENUE,,,01,,8280,38580,,1901,18,100,1750,,09,,,,,,,,B3,Converted (From One Family),,,,,,3060,,,,,,,,TM WOODYCREST LLC,,,,,,,,,,,,,,1004367,242806,,2025080012,,2020,2020,8,,,,0.041271616819269,74.8458217802757,167.020307587891
2604,Bronx,Bronx,600100,1041 NELSON AVENUE,,2025120015,Bronx,600100,1041,NELSON AVENUE,,,04,,62550,1248300,,1940,100,153,14903,,09,,,,,,,,D7,Semi- Fireproof With Stores,,,,,,57720,,,,,,,,1041 NELSON LLC,,,,,,,,,,,,,,1004057,243082,,2025120015,,2020,2020,8,,,,0.350542318098761,154.351816042988,1418.59443132095
2605,Bronx,Bronx,600100,1021 NELSON AVENUE,,2025120036,Bronx,600100,1021,NELSON AVENUE,,,02,,9240,37860,,1910,25,64,1610,,09,,,,,,,,C0,Three Families,,,,,,2610,,,,,,,,1021 NELSON AVE LLC,,,,,,,,,,,,,,1004011,242903,,2025120036,,2020,2020,8,,,,0.0409696741286106,58.484938734161,165.798388871003
2606,Bronx,Bronx,600100,1018 OGDEN AVENUE,,2025120008,Bronx,600100,1018,OGDEN AVENUE,,,04,,93150,253800,,1931,25,70,1750,,09,,,,,,,,S3,Primarily Three Family with Store or Office,,,,,,2835,,,,,,,,RSAKARIA REALTY LLC.,,,,,,,,,,,,,,1003936,242907,,2025120008,,2020,2020,8,,,,0.0409329277949127,57.9991003471968,165.649681734478
2607,Bronx,Bronx,600100,1046 OGDEN AVENUE,,2025120019,Bronx,600100,1046,OGDEN AVENUE,,,01,,10440,31080,,1901,17,78,1350,,09,,,,,,,,B3,Converted (From One Family),,,,,,1732,,,,,,,,1046 OGDEN AVE LLC,,,,,,,,,,,,,,1004045,243151,,2025120019,,2020,2020,8,,,,0.033883718751228,58.5950871666821,137.122544843202
2608,Bronx,Bronx,600100,158 WEST 165 STREET,,2025250023,Bronx,600100,158,WEST 165 STREET,,,10,,9900,25200,,1931,25,95,2375,,09,,,,,,,,G1,Garage - Two or More Stories,,,,,,500,,,,,,,,"MORNINGSIDE CONDOS, LLC",,,,,,,,,,,,,,1003932,243279,,2025250023,,2020,2020,8,,,,0.0590368602547,75.0189422995215,238.913697080064
2609,Bronx,Bronx,600100,1047 OGDEN AVENUE,,2025250024,Bronx,600100,1047,OGDEN AVENUE,,,11,,99450,99450,,0,25,95,2375,,09,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,"MORNINGSIDE CONDOS, LLC",,,,,,,,,,,,,,1003922,243255,,2025250024,,2020,2020,8,,,,0.053904975032346,73.6047872059294,218.145694408961
2610,Bronx,Bronx,600100,1045 OGDEN AVENUE,,2025250025,Bronx,600100,1045,OGDEN AVENUE,,,11,,94500,94500,,0,25,90,2250,,09,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,"MORNINGSIDE CONDOS, LLC",,,,,,,,,,,,,,1003915,243231,,2025250025,,2020,2020,8,,,,0.0516615823757132,70.4466204455745,209.067006428502
2611,Bronx,Bronx,600100,1037 OGDEN AVENUE,,2025250028,Bronx,600100,1037,OGDEN AVENUE,,,04,,18450,502200,,1910,50,90,4500,,09,,,,,,,,C7,Over Six Families with Stores,,,,,,19000,,,,,,,,1037 OGDEN AVENUE LLC,,,,,,,,,,,,,,1003880,243152,,2025250028,,2020,2020,8,,,,0.107747665895121,86.8542754674097,436.039333726279
2612,Bronx,Bronx,600100,162 WEST 165 STREET,,2025250020,Bronx,600100,162,WEST 165 STREET,,,02,,30150,785700,,1926,95,75,7250,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,31875,,,,,,,,162 WEST 165TH LLC,,,,,,,,,,,,,,1003834,243293,,2025250020,,2020,2020,8,,,,0.170590074828468,108.263878265635,690.353539917284
2613,Bronx,Bronx,600100,1046 SUMMIT AVENUE,,2025250019,Bronx,600100,1046,SUMMIT AVENUE,,,02,,130500,348750,,1926,25,100,2500,,09,,,,,,,,C3,Four Families,,,,,,3975,,,,,,,,1046 SUMMIT LLC,,,,,,,,,,,,,,1003816,243247,,2025250019,,2020,2020,8,,,,0.0556157662713971,76.5462595049382,225.069020922101
2614,Bronx,Bronx,600100,1041 OGDEN AVENUE,,2025250027,Bronx,600100,1041,OGDEN AVENUE,,,01,,9360,29880,,1901,25,103,2575,,09,,,,,,,,A1,"Two Story Detatched (Small or Moderate Size, With or Without Attic)",,,,,,1820,,,,,,,,OGDEN AVENUE REALTY LLC,,,,,,,,,,,,,,1003890,243189,,2025250027,,2020,2020,8,,,,0.0578636173214375,77.9260091944106,234.165751380555
2615,Bronx,Bronx,600100,1053 SUMMIT AVENUE,,2025230139,Bronx,600100,1053,SUMMIT AVENUE,,,02,,8100,45900,,2006,23,88,1813,,09,,,,,,,,C0,Three Families,,,,,,3430,,,,,,,,SUMMIT PROPERTY GARDENS 2 LLC,,,,,,,,,,,,,,1003689,243296,,2025230139,,2020,2020,8,,,,0.0427773468751035,65.1472220892124,173.113780934745
2616,Bronx,Bronx,600100,1051 SUMMIT AVENUE,,2025230140,Bronx,600100,1051,SUMMIT AVENUE,,,02,,10620,44220,,2006,23,88,2012,,09,,,,,,,,C0,Three Families,,,,,,3430,,,,,,,,SUMMIT PROPERTY GARDENS 2 LLC,,,,,,,,,,,,,,1003676,243277,,2025230140,,2020,2020,8,,,,0.0476134011471422,68.7154625602377,192.68459822462
2617,Bronx,Bronx,600100,1049 SUMMIT AVENUE,,2025230141,Bronx,600100,1049,SUMMIT AVENUE,,,02,,10620,44220,,2006,23,88,2012,,09,,,,,,,,C0,Three Families,,,,,,3430,,,,,,,,SUMMIT PROPERTY GARDENS 2 LLC,,,,,,,,,,,,,,1003667,243256,,2025230141,,2020,2020,8,,,,0.0476127777124435,68.7152779354853,192.682075273906
2618,Bronx,Bronx,600100,1047 SUMMIT AVENUE,,2025230142,Bronx,600100,1047,SUMMIT AVENUE,,,02,,10380,44220,,2006,23,88,2012,,09,,,,,,,,C0,Three Families,,,,,,3430,,,,,,,,SUMMIT PROPERTY GARDENS 2 LLC,,,,,,,,,,,,,,1003658,243234,,2025230142,,2020,2020,8,,,,0.0476128260474096,68.7152239682651,192.682270878573
2619,Bronx,Bronx,600100,1033 SUMMIT AVENUE,,2025230144,Bronx,600100,1033,SUMMIT AVENUE,,,01,,10320,19080,,1910,25,87,2185,,09,,,,,,,,A2,One Story (Permanent Living Quaters),,,,,,1140,,,,,,,,1033 SUMMIT AVE LLC,,,,,,,,,,,,,,1003648,243212,,2025230144,,2020,2020,8,,,,0.0524820436409261,70.1588859170071,212.387295368959
2620,Bronx,Bronx,600100, UNIVERSITY AVENUE,,2025230120,Bronx,600100,,UNIVERSITY AVENUE,,,11,,256500,256500,,0,125,83,10645,,09,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,"HIGHBRIDGE RISING, LLC",,,,,,,,,,,,,,1003427,242926,,2025230120,,2020,2020,8,,,,0.242119302091369,129.194326087347,979.822052655462
2621,Bronx,Bronx,600100,1006 UNIVERSITY AVENUE,,2025230124,Bronx,600100,1006,UNIVERSITY AVENUE,,,02,,11100,49140,,1899,25,83,2075,,09,,,,,,,,C0,Three Families,,,,,,3294,,,,,,,,AVP INVESTORS LLC,,,,,,,,,,,,,,1003456,242995,,2025230124,,2020,2020,8,,,,0.0447394582635394,64.5121907195837,181.054164008501
2622,Bronx,Bronx,600100,1008 UNIVERSITY AVENUE,,2025230125,Bronx,600100,1008,UNIVERSITY AVENUE,,,01,,10020,28260,,1930,25,83,2075,,09,,,,,,,,A1,"Two Story Detatched (Small or Moderate Size, With or Without Attic)",,,,,,2100,,,,,,,,1008 REALTY LLC,,,,,,,,,,,,,,1003465,243017,,2025230125,,2020,2020,8,,,,0.0475321697574715,65.4155210357973,192.355866453631
2623,Bronx,Bronx,600100,180 WEST 165 STREET,,2025230133,Bronx,600100,180,WEST 165 STREET,,,08,,381600,6549750,,2013,114,107,11618,,09,,,,,,,,W3,Schools or Academies,,,,,,51771,,,,,,,,180 W. 165TH STREET LLC,,,,,,,,,,,,,,1003564,243232,,2025230133,,2020,2020,8,,,,0.29342757917058,148.70312728233,1187.45928327575
2624,Bronx,Bronx,600100,1055 SUMMIT AVENUE,,2025230138,Bronx,600100,1055,SUMMIT AVENUE,,,02,,12120,44280,,2006,45,64,1418,,09,,,,,,,,C0,Three Families,,,,,,3415,,,,,,,,SUMMIT PROPERTY GARDENS 2 LLC,,,,,,,,,,,,,,1003717,243313,,2025230138,,2020,2020,8,,,,0.0335192037598081,57.6005198293835,135.647405009114
2625,Bronx,Bronx,600100,1058 UNIVERSITY AVENUE,,2025260040,Bronx,600100,1058,UNIVERSITY AVENUE,,,02,,17880,55440,,1901,87,137,5380,,09,,,,,,,,C0,Three Families,,,,,,4368,,,,,,,,1058 BRONX LLC,,,,,,,,,,,,,,1003624,243393,,2025260040,,2020,2020,8,,,,0.127279201488513,106.524513088605,515.080653981734
2626,Bronx,Bronx,600100,1060 UNIVERSITY AVENUE,,2025260044,Bronx,600100,1060,UNIVERSITY AVENUE,,,03,,56250,242100,,2007,25,112,2813,,09,,,,,,,,D1,Semi-fireproof (Without Stores),,,,,,10819,,,,,,,,1060 UNIVERSITY AVE LLC,,,,,,,,,,,,,,1003654,243424,,2025260044,,2020,2020,8,,,,0.0587320118908934,82.9113250646639,237.680019521135
2627,Bronx,Bronx,600100,175 WEST 165 STREET,,2025260082,Bronx,600100,175,WEST 165 STREET,,,04,,62100,283950,,1931,34,112,2880,,09,,,,,,,,S4,Primarily Four Family with Store or Office,,,,,,6494,,,,,,,,"GSS N3, LLC",,,,,,,,,,,,,,1003735,243434,,2025260082,,2020,2020,8,,,,0.0672694545910872,81.8573093815689,272.229824343286
2628,Bronx,Bronx,600100,1074 UNIVERSITY AVENUE,,2025260048,Bronx,600100,1074,UNIVERSITY AVENUE,,,01,,12480,34260,,1901,50,100,5000,,09,,,,,,,,B2,Frame,,,,,,2499,,,,,,,,"WATER STREET GROUP, LLC",,,,,,,,,,,,,,1003701,243548,,2025260048,,2020,2020,8,,,,0.0542304657288876,76.098945953824,219.462908524692
2629,Bronx,Bronx,600100,1072 UNIVERSITY AVENUE,,2025260147,Bronx,600100,1072,UNIVERSITY AVENUE,,,02,,28800,241650,,2017,27,100,2673,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,6894,,,,,,,,1072 UNIVERSITY REALTY LLC,,,,,,,,,,,,,,1003691,243525,,2025260147,,2020,2020,8,,,,0.0623908023576724,78.2839231496849,252.486619219836
2630,Bronx,Bronx,600100,1068 UNIVERSITY AVENUE,,2025260047,Bronx,600100,1068,UNIVERSITY AVENUE,,,10,,81000,81000,,0,28,112,3150,,09,,,,,,,,G7,Unlicensed Parking Lot,,,,,,0,,,,,,,,"GSS N3, LLC",,,,,,,,,,,,,,1003686,243497,,2025260047,,2020,2020,8,,,,0.0748356764199556,86.5181795383204,302.849237744746
2631,Bronx,Bronx,600100,1055 UNIVERSITY AVENUE,,2025270061,Bronx,600100,1055,UNIVERSITY AVENUE,,,04,,134100,1833750,,1927,136,133,19887,,09,,,,,,,,D7,Semi- Fireproof With Stores,,,,,,89457,,,,,,,,HIGHBRIDGE APARTMENTS ESTATES LLC,,,,,,,,,,,,,,1003463,243424,,2025270061,,2020,2020,8,,,,0.480915438019754,177.850835705683,1946.19572898155
2632,Bronx,Bronx,600100,1090 UNIVERSITY AVENUE,,2025260055,Bronx,600100,1090,UNIVERSITY AVENUE,,,02,,22050,306450,,1928,64,88,5340,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,24225,,,,,,,,BX 1090 LLC,,,,,,,,,,,,,,1003763,243703,,2025260055,,2020,2020,8,,,,0.125233052961419,90.4539027192505,506.800184673677
2633,Bronx,Bronx,600100,1065 SUMMIT AVENUE,,2025260078,Bronx,600100,1065,SUMMIT AVENUE,,,04,,58950,401850,,1927,119,75,6543,,09,,,,,,,,C7,Over Six Families with Stores,,,,,,40500,,,,,,,,1065 SUMMIT REALTY LLC,,,,,,,,,,,,,,1003773,243469,,2025260078,,2020,2020,8,,,,0.154265244977152,127.830352916985,624.289297388895
2634,Bronx,Bronx,600100,165 WEST 165 STREET,,2025260001,Bronx,600100,165,WEST 165 STREET,,,10,,55350,87750,,1998,120,50,6500,,09,,,,,,,,G1,Garage - Two or More Stories,,,,,,495,,,,,,,,161-65 W 165TH STREET LLC,,,,,,,,,,,,,,1003880,243449,,2025260001,,2020,2020,8,,,,0.148726809251136,118.74789349151,601.876043201021
2635,Bronx,Bronx,600100,163 WEST 165 STREET,,2025260038,Bronx,600100,163,WEST 165 STREET,,,10,,18450,33300,,1998,25,100,2500,,09,,,,,,,,G1,Garage - Two or More Stories,,,,,,231,,,,,,,,161-65 W 165TH STREET LLC,,,,,,,,,,,,,,1003906,243423,,2025260038,,2020,2020,8,,,,0.0573585720044715,76.1779147224662,232.121905495988
2636,Bronx,Bronx,600100,1089 SUMMIT AVENUE,,2025260058,Bronx,600100,1089,SUMMIT AVENUE,,,02,,10560,45480,,2007,26,76,1980,,09,,,,,,,,C0,Three Families,,,,,,2826,,,,,,,,"SAHEB GROUP, LLC",,,,,,,,,,,,,,1003865,243707,,2025260058,,2020,2020,8,,,,0.042858383534177,62.6414923642664,173.441724658966
2637,Bronx,Bronx,600100,1102 UNIVERSITY AVENUE,,2025260062,Bronx,600100,1102,UNIVERSITY AVENUE,,,02,,80550,408600,,2010,27,88,2391,,09,,,,,,,,C1,Over Six Families Without Stores,,,,,,5699,,,,,,,,"MO-TECH REAL ESTATE GROUP, LLC",,,,,,,,,,,,,,1003844,243808,,2025260062,,2020,2020,8,,,,0.0555700074877679,73.1705215206745,224.88384169469
2638,Bronx,Bronx,600100,160 WEST 166 STREET,,2025260014,Bronx,600100,160,WEST 166 STREET,,,10,,58500,459450,,1931,112,100,11250,,09,,,,,,,,G1,Garage - Two or More Stories,,,,,,22500,,,,,,,,FIRST BRONX/ BROOKLYN LLC,,,,,,,,,,,,,,1004019,243716,,2025260014,,2020,2020,8,,,,0.260673457016666,130.121656224047,1054.90805367711
2639,Bronx,Bronx,600100,1085 NELSON AVENUE,,2025140025,Bronx,600100,1085,NELSON AVENUE,,,03,,42300,1015200,,1931,100,100,10027,,09,,,,,,,,D1,Semi-fireproof (Without Stores),,,,,,42000,,,,,,,,NELSON APTS LLC,,,,,,,,,,,,,,1004308,243519,,2025140025,,2020,2020,8,,,,0.249315724720669,127.19247213353,1008.94494179115
2640,Bronx,Bronx,600100,1075 NELSON AVENUE,,2025140032,Bronx,600100,1075,NELSON AVENUE,,,03,,40050,529200,,1931,75,103,7500,,09,,,,,,,,D1,Semi-fireproof (Without Stores),,,,,,36900,,,,,,,,1075 NELSON LLC,,,,,,,,,,,,,,1004237,243372,,2025140032,,2020,2020,8,,,,0.173936610039253,107.141925209484,703.896487427835
2641,Bronx,Bronx,600100,1091 OGDEN AVENUE,,2025260020,Bronx,600100,1091,OGDEN AVENUE,,,04,,175500,893700,,1927,112,90,10125,,09,,,,,,,,K4,"Stores, Apartments Above",,,,,,12645,,,,,,,,OGDEN AVENUE LLC,,,,,,,,,,,,,,1004106,243679,,2025260020,,2020,2020,8,,,,0.230779865849201,123.078249306386,933.932982272449
2642,Bronx,Bronx,600100,1053 OGDEN AVENUE,,2025260034,Bronx,600100,1053,OGDEN AVENUE,,,05,,31500,259650,,1925,70,90,6300,,09,,,,,,,,K1,One Story Store Building,,,,,,5150,,,,,,,,1051-1057 HOLDING LLC,,,,,,,,,,,,,,1003976,243377,,2025260034,,2020,2020,8,,,,0.145941626917273,98.0381129481251,590.604810185671
2643,Bronx,Bronx,600100,1070 OGDEN AVENUE,,2025140005,Bronx,600100,1070,OGDEN AVENUE,,,04,,22050,450000,,1931,75,74,5552,,09,,,,,,,,D7,Semi- Fireproof With Stores,,,,,,26355,,,,,,,,KABALA MGMT LLC,,,,,,,,,,,,,,1004156,243407,,2025140005,,2020,2020,8,,,,0.1335443624192,92.9900496211309,540.434860731453
2644,Bronx,Bronx,600100,1048 OGDEN AVENUE,,2025120020,Bronx,600100,1048,OGDEN AVENUE,,,05,,36450,220950,,1931,35,78,2706,,09,,,,,,,,K1,One Story Store Building,,,,,,1695,,,,,,,,1048 OGDEN REALTY LLC,,,,,,,,,,,,,,1004045,243204,,2025120020,,2020,2020,8,,,,0.0646229871932242,69.5381835127049,261.519950757573
2645,Bronx,Bronx,600100,128 WEST 165 STREET,,2025120024,Bronx,600100,128,WEST 165 STREET,,,05,,81000,81000,,2019,34,78,2617,,09,,,,,,,,K1,One Story Store Building,,,,,,2610,,,,,,,,985 INVESTORS LLC,,,,,,,,,,,,,,1004109,243177,,2025120024,,2020,2020,8,,,,0.0604437759810792,68.1455979589602,244.607283023137
2646,Bronx,Bronx,600100,1065 NELSON AVENUE,,2025140036,Bronx,600100,1065,NELSON AVENUE,,,04,,56250,748800,,1926,95,75,7422,,09,,,,,,,,C7,Over Six Families with Stores,,,,,,31875,,,,,,,,"NELSON BRONX HOLDINGS, LLC",,,,,,,,,,,,,,1004207,243292,,2025140036,,2020,2020,8,,,,0.17835930072328,107.905829275764,721.79448162678
2647,Bronx,Bronx,600100,1076 NELSON AVENUE,,2025130008,Bronx,600100,1076,NELSON AVENUE,,,11,,6420,6420,,0,16,92,1457,,09,,,,,,,,V0,"Zoned Residential, Except Not Manhattan Below 110 St",,,,,,0,,,,,,,,ADVAM PROPERTY HOLDINGS LLC,,,,,,,,,,,,,,1004397,243359,,2025130008,,2020,2020,8,,,,0.0336004582284509,66.0833833196465,135.976230177389
2648,Bronx,Bronx,600100,1072 WOODYCREST AVENUE,,2025090006,Bronx,600100,1072,WOODYCREST AVENUE,,,03,,40050,1087650,,1928,98,100,9769,,09,,,,,,,,D1,Semi-fireproof (Without Stores),,,,,,42652,,,,,,,,1072 WOODYCREST ASSOCIATES LLC,,,,,,,,,,,,,,1004625,243248,,2025090006,,2020,2020,8,,,,0.236000555618181,124.265092646258,955.060364193404
2649,Bronx,Bronx,600100,1086 WOODYCREST AVENUE,,2025090010,Bronx,600100,1086,WOODYCREST AVENUE,,,04,,144000,373500,,2018,71,155,9612,,09,,,,,,,,D7,Semi- Fireproof With Stores,,,,,,33453,,,,,,,,1080 WOODYCREST LLC,,,,,,,,,,,,,,1004687,243309,,2025090010,,2020,2020,8,,,,0.220192039537502,136.395044573528,891.085569363695
2650,Bronx,Bronx,600100,1150 ANDERSON AVENUE,,2025050050,Bronx,600100,1150,ANDERSON AVENUE,,,04,,98100,1898100,,1927,249,86,21616,,09,,,,,,,,D7,Semi- Fireproof With Stores,,,,,,97846,,,,,,,,1150 REALTY LLC,,,,,,,,,,,,,,1005196,243725,,2025050050,,2020,2020,8,,,,0.493404312351499,206.572415647456,1996.73641027952
2651,Bronx,Bronx,600100,1143 ANDERSON AVENUE,,2025090060,Bronx,600100,1143,ANDERSON AVENUE,,,02,,11100,48180,,1930,25,100,2517,,09,,,,,,,,C0,Three Families,,,,,,4323,,,,,,,,V & S INFINITY ESTATES LLC,,,,,,,,,,,,,,1005050,243777,,2025090060,,2020,2020,8,,,,0.0583776974410236,77.1457680650591,236.24615981413
2652,Bronx,Bronx,600100,1180 ANDERSON AVENUE,,2025100069,Bronx,600100,1180,ANDERSON AVENUE,,,03,,40050,535500,,1927,76,134,8495,,09,,,,,,,,D1,Semi-fireproof (Without Stores),,,,,,45938,,,,,,,,ROSE 1180 LLC,,,,,,,,,,,,,,1005380,244004,,2025100069,,2020,2020,8,,,,0.222307926099935,124.094917971867,899.648258487946
2653,Bronx,Bronx,600100,1178 ANDERSON AVENUE,,2025100067,Bronx,600100,1178,ANDERSON AVENUE,,,04,,67500,490500,,2008,50,100,5000,,09,,,,,,,,D7,Semi- Fireproof With Stores,,,,,,22785,,,,,,,,CLIFFSIDE PROPERTIES LLC,,,,,,,,,,,,,,1005341,243956,,2025100067,,2020,2020,8,,,,0.108176024861574,91.4186301357378,437.772840960761
