OBJECTID,COUNTY_NAME,MUNI_NAME,SWIS,PARCEL_ADDR,PRINT_KEY,SBL,CITYTOWN_NAME,CITYTOWN_SWIS,LOC_ST_NBR,LOC_STREET,LOC_UNIT,LOC_ZIP,PROP_CLASS,ROLL_SECTION,LAND_AV,TOTAL_AV,FULL_MARKET_VAL,YR_BLT,FRONT,DEPTH,SQ_FT,ACRES,SCHOOL_CODE,SCHOOL_NAME,SEWER_TYPE,SEWER_DESC,WATER_SUPPLY,WATER_DESC,UTILITIES,UTILITIES_DESC,BLDG_STYLE,BLDG_STYLE_DESC,HEAT_TYPE,HEAT_TYPE_DESC,FUEL_TYPE,FUEL_TYPE_DESC,SQFT_LIVING,GFA,NBR_KITCHENS,NBR_FULL_BATHS,NBR_BEDROOMS,USED_AS_CODE,USED_AS_DESC,AG_DIST_CODE,AG_DIST_NAME,PRIMARY_OWNER,MAIL_ADDR,PO_BOX,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ADD_OWNER,ADD_MAIL_ADDR,ADD_MAIL_PO_BOX,ADD_MAIL_CITY,ADD_MAIL_STATE,ADD_MAIL_ZIP,BOOK,PAGE,GRID_EAST,GRID_NORTH,MUNI_PARCEL_ID,SWIS_SBL_ID,SWIS_PRINT_KEY_ID,ROLL_YR,SPATIAL_YR,OWNER_TYPE,NYS_NAME,NYS_NAME_SOURCE,DUP_GEO,CALC_ACRES,Shape_Length,Shape_Area
13,Bronx,Bronx,600100,1702 EAST 233 STREET,,2049530080,Bronx,600100,1702,EAST 233 STREET,,,07,,50850,104400,,1931,75,100,7500,,11,,,,,,,,G2,Garage - One Story (Semi-Fireproof or Fireproof),,,,,,2250,,,,,,,,A1 REALTY GROUP LLC,,,,,,,,,,,,,,1032405,262745,,2049530080,,2020,2020,8,,,,0.178588149579597,108.943701580574,722.720600090725
14,Bronx,Bronx,600100,3913 PROVOST AVENUE,,2049730005,Bronx,600100,3913,PROVOST AVENUE,,,06,,15750,214650,,1920,25,112,2750,,11,,,,,,,,E1,Fireproof,,,,,,5500,,,,,,,,3913 PROVOST LLC,,,,,,,,,,,,,,1031749,263277,,2049730005,,2020,2020,8,,,,0.0631369116207144,84.3991851089399,255.506016282789
15,Bronx,Bronx,600100,1680 EAST 233 STREET,,2049530056,Bronx,600100,1680,EAST 233 STREET,,,11,,195300,195300,,0,75,200,12500,,11,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,"AIKLER 1684 2,LLC",,,,,,,,,,,,,,1032149,262758,,2049530056,,2020,2020,8,,,,0.29394596233103,169.606914616241,1189.55710549788
16,Bronx,Bronx,600100,2281 LIGHT STREET,,2049520024,Bronx,600100,2281,LIGHT STREET,,,06,,64800,284850,,1986,75,96,7200,,11,,,,,,,,F4,Semi-Fireproof,,,,,,7200,,,,,,,,2281 LIGHT STREET LLC,,,,,,,,,,,,,,1031498,262889,,2049520024,,2020,2020,8,,,,0.167562257598382,105.016990115187,678.100398313854
17,Bronx,Bronx,600100,2253 LIGHT STREET,,2049510018,Bronx,600100,2253,LIGHT STREET,,,06,,33750,192600,,1931,50,100,5000,,11,,,,,,,,E9,Miscellaneous,,,,,,4800,,,,,,,,2253 LIGHT STREET LLC,,,,,,,,,,,,,,1031325,262879,,2049510018,,2020,2020,8,,,,0.116818248493724,92.2358126780142,472.746679170347
18,Bronx,Bronx,600100,2241 LIGHT STREET,,2049510020,Bronx,600100,2241,LIGHT STREET,,,07,,90000,387450,,1950,100,100,10000,,11,,,,,,,,G2,Garage - One Story (Semi-Fireproof or Fireproof),,,,,,10000,,,,,,,,"ATB FIVE PROPERTIES, LLC",,,,,,,,,,,,,,1031249,262874,,2049510020,,2020,2020,8,,,,0.23839422285384,124.250827536847,964.74719181912
19,Bronx,Bronx,600100,2259 LIGHT STREET,,2049510016,Bronx,600100,2259,LIGHT STREET,,,01,,11940,24420,,1920,50,100,5000,,11,,,,,,,,B2,Frame,,,,,,1044,,,,,,,,2259 LIGHT STREET LLC,,,,,,,,,,,,,,1031377,262882,,2049510016,,2020,2020,8,,,,0.122588664241723,93.7549315816714,496.098723200054
20,Bronx,Bronx,600100,1591 EAST 233 STREET,,2049710001,Bronx,600100,1591,EAST 233 STREET,,,05,,310950,947250,,1948,139,395,27650,,11,,,,,,,,O9,Miscellaneous,,,,,,17000,,,,,,,,SUPERIOR 233RD LLC,,,,,,,,,,,,,,1031349,263435,,2049710001,,2020,2020,8,,,,0.715095920059181,310.197548579256,2893.89051672353
21,Bronx,Bronx,600100,3821 MERRITT AVENUE,,2049510003,Bronx,600100,3821,MERRITT AVENUE,,,06,,86850,376650,,1959,65,133,12877,,11,,,,,,,,E9,Miscellaneous,,,,,,9014,,,,,,,,1590 EAST 233RD LLC,,,,,,,,,,,,,,1031363,263120,,2049510003,,2020,2020,8,,,,0.336562983873671,163.049501891974,1362.02207283127
22,Bronx,Bronx,600100,1614 EAST 233 STREET,,2049520005,Bronx,600100,1614,EAST 233 STREET,,,07,,33750,88650,,1949,40,128,4071,,11,,,,,,,,G2,Garage - One Story (Semi-Fireproof or Fireproof),,,,,,1220,,,,,,,,"SAFIYA REALTY ENTERPRISES, LLC",,,,,,,,,,,,,,1031557,263097,,2049520005,,2020,2020,8,,,,0.0983930407058237,100.753154813165,398.182508699827
23,Bronx,Bronx,600100,3915 PROVOST AVENUE,,2049730006,Bronx,600100,3915,PROVOST AVENUE,,,11,,235800,235800,,0,150,112,19200,,11,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,PROVOST-MULVEY LLC,,,,,,,,,,,,,,1031767,263365,,2049730006,,2020,2020,8,,,,0.453201987347805,172.654633594817,1834.04337314291
24,Bronx,Bronx,600100,3960 MERRITT AVENUE,,2049720026,Bronx,600100,3960,MERRITT AVENUE,,,06,,110250,764100,,1959,247,92,29000,,11,,,,,,,,F5,Light Manufacturing,,,,,,20000,,,,,,,,CASTRO REALTY DEVELOPMENT LLC,,,,,,,,,,,,,,1031633,263852,,2049720026,,2020,2020,8,,,,0.773371174038689,280.989589161595,3129.7221025575
25,Bronx,Bronx,600100, MULVEY AVENUE,,2049720050,Bronx,600100,,MULVEY AVENUE,,,11,,70650,70650,,0,101,21,4732,,11,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,"DILORENZO REALTY 50, LLC",,,,,,,,,,,,,,1031689,263769,,2049720050,,2020,2020,8,,,,0.0933128248136658,84.9027742471425,377.623604389469
26,Bronx,Bronx,600100, MULVEY AVENUE,,2049730022,Bronx,600100,,MULVEY AVENUE,,,11,,33300,33300,,0,25,70,1692,,11,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,"EKN REALTY, LLC",,,,,,,,,,,,,,1031756,263564,,2049730022,,2020,2020,8,,,,0.0423540308155605,59.3118162937785,171.400681620479
27,Bronx,Bronx,600100,3931 MULVEY AVENUE,,2049720060,Bronx,600100,3931,MULVEY AVENUE,,,06,,31500,275850,,1983,50,100,5000,,11,,,,,,,,F5,Light Manufacturing,,,,,,6650,,,,,,,,DILORENZO REALTY 60 LLC,,,,,,,,,,,,,,1031613,263553,,2049720060,,2020,2020,8,,,,0.1121424104839,91.1092405301302,453.824234090186
28,Bronx,Bronx,600100,3926 MULVEY AVENUE,,2049730012,Bronx,600100,3926,MULVEY AVENUE,,,11,,52650,52650,,0,51,65,2460,,11,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,3926 MULVEY AVENUE LLC,,,,,,,,,,,,,,1031739,263477,,2049730012,,2020,2020,8,,,,0.0584803610027254,61.9047773449162,236.66162450815
29,Bronx,Bronx,600100,3920 MERRITT AVENUE,,2049720012,Bronx,600100,3920,MERRITT AVENUE,,,06,,103500,902250,,1962,148,200,20000,,11,,,,,,,,F9,Miscellaneous,,,,,,22500,,,,,,,,DILORENZO REALTY 12 LLC,,,,,,,,,,,,,,1031534,263508,,2049720012,,2020,2020,8,,,,0.473370806832499,215.160313708298,1915.66368980677
30,Bronx,Bronx,600100,3925 PROVOST AVENUE,,2049730064,Bronx,600100,3925,PROVOST AVENUE,,,11,,53550,53550,,0,25,100,2500,,11,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,COJAX CONSTRUCTION LLC,,,,,,,,,,,,,,1031808,263441,,2049730064,,2020,2020,8,,,,0.058339195311785,76.8859695453764,236.090347225145
31,Bronx,Bronx,600100, MULVEY AVENUE,,2049730014,Bronx,600100,,MULVEY AVENUE,,,11,,63900,63900,,0,51,65,2988,,11,,,,,,,,V1,Not Zoned Residential or Manhattan Below 110 St,,,,,,0,,,,,,,,3926 MULVEY AVENUE LLC,,,,,,,,,,,,,,1031749,263526,,2049730014,,2020,2020,8,,,,0.0745584914966459,70.1645590404135,301.727510157657
32,Bronx,Bronx,600100,3941 PROVOST AVENUE,,2049730059,Bronx,600100,3941,PROVOST AVENUE,,,06,,51300,336600,,1940,50,100,5000,,11,,,,,,,,F4,Semi-Fireproof,,,,,,8000,,,,,,,,"EKN REALTY, LLC",,,,,,,,,,,,,,1031812,263586,,2049730059,,2020,2020,8,,,,0.203616027156398,140.014478509747,824.00482720144
33,Bronx,Bronx,600100,3939 PROVOST AVENUE,,2049730060,Bronx,600100,3939,PROVOST AVENUE,,,10,,74250,74250,,0,50,100,5000,,11,,,,,,,,G7,Unlicensed Parking Lot,,,,,,0,,,,,,,,"EKN REALTY, LLC",,,,,,,,,,,,,,1031834,263526,,2049730060,,2020,2020,8,,,,0.119225327172292,92.9016804366686,482.487780979932
34,Bronx,Bronx,600100,3938 MULVEY AVENUE,,2049730025,Bronx,600100,3938,MULVEY AVENUE,,,07,,36000,151200,,1915,73,97,6903,,11,,,,,,,,G2,Garage - One Story (Semi-Fireproof or Fireproof),,,,,,1472,,,,,,,,"EKN REALTY, LLC",,,,,,,,,,,,,,1031779,263665,,2049730025,,2020,2020,8,,,,0.167514263826278,104.837109225741,677.906174408982
35,Bronx,Bronx,600100,3957 PROVOST AVENUE,,2049730028,Bronx,600100,3957,PROVOST AVENUE,,,10,,82800,206550,,1957,106,220,23365,,11,,,,,,,,G1,Garage - Two or More Stories,,,,,,3243,,,,,,,,"3967 PROVOST AVENUE, LLC",,,,,,,,,,,,,,1031832,263748,,2049730028,,2020,2020,8,,,,0.567239044114689,211.222308831545,2295.53496871157
36,Bronx,Bronx,600100,3967 PROVOST AVENUE,,2049730036,Bronx,600100,3967,PROVOST AVENUE,,,07,,129600,845550,,1927,174,220,31805,,11,,,,,,,,G9,Miscellaneous,,,,,,14306,,,,,,,,3967 PROVOST AVE LLC,,,,,,,,,,,,,,1031837,263877,,2049730036,,2020,2020,8,,,,0.898637715902614,250.612286725938,3636.65781201136
37,Bronx,Bronx,600100,3966 MERRITT AVENUE,,2049720037,Bronx,600100,3966,MERRITT AVENUE,,,06,,30600,205200,,1982,60,70,5200,,11,,,,,,,,E1,Fireproof,,,,,,4860,,,,,,,,CASTRO REALTY DEVELOPMENT LLC,,,,,,,,,,,,,,1031666,263990,,2049720037,,2020,2020,8,,,,0.115930133036975,88.6465929708345,469.152603430369
38,Bronx,Bronx,600100,4013 DYRE AVENUE,,2049690014,Bronx,600100,4013,DYRE AVENUE,,,04,,123300,250650,,1931,50,94,4700,,11,,,,,,,,S4,Primarily Four Family with Store or Office,,,,,,3375,,,,,,,,SKY PARTNERS NYS LLC,,,,,,,,,,,,,,1030871,263987,,2049690014,,2020,2020,8,,,,0.112325290373929,89.3604126662138,454.564322747678
39,Bronx,Bronx,600100,4024 SECOR AVENUE,,2049690031,Bronx,600100,4024,SECOR AVENUE,,,01,,9540,34620,,1938,50,90,4500,,11,,,,,,,,B3,Converted (From One Family),,,,,,2090,,,,,,,,ROSE PROPERTY GROUP LLC.,,,,,,,,,,,,,,1030789,264096,,2049690031,,2020,2020,8,,,,0.0978554611816035,83.0883722778568,396.007001549686
40,Bronx,Bronx,600100,4006 PRATT AVENUE,,2049660012,Bronx,600100,4006,PRATT AVENUE,,,01,,9060,37140,,1910,25,100,2500,,11,,,,,,,,B2,Frame,,,,,,2512,,,,,,,,4006 PRATT SHEPHA LLC,,,,,,,,,,,,,,1030226,263967,,2049660012,,2020,2020,8,,,,0.0595863673112566,78.4627519674826,241.137473241044
