"Join_Count,N,10,0","TARGET_FID,N,10,0","JOIN_FID,N,10,0","globalid,C,254","CreationDa,D","Creator,C,254","EditDate,D","Editor,C,254","Facade_Mas,N,19,11","Window_Con,N,19,11","Paint_Cond,N,19,11","Garden_Con,N,19,11","Shed,C,254","is_there_a,C,254","Additional,C,254","SymbolID,C,20","Block_ID,N,19,11","Block_Name,C,254"
1,31,19,f6a57fa9-afc0-4baf-8076-1be599dcd894,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3240.2071,E 207th & Hull
1,32,19,da10ac3d-e98e-4c24-8fff-1f1d333f4ffc,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,1,No,,Not pleasant to walk by,,3240.2071,E 207th & Hull
1,33,19,03ed127c-ddff-4ed7-8d17-e529605814d0,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,4,0,0,No,,,,3240.2071,E 207th & Hull
1,34,12,bdc7aa60-9b37-4156-8e66-25a83e857662,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,4,0,0,No,,,,3300.2091,E 209th & Hull
0,35,-1,64ace654-6fd6-4fc6-822a-86ec1ea70eeb,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,0,
1,36,15,2830b32f-2386-492e-8d6d-464d8288f4de,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,5,1,No,,,,3300.2092,209th & Perry
1,37,15,28847f8e-04bb-4993-8572-fdfca037c033,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,2,0,No,,,,3300.2092,209th & Perry
1,38,12,54248c17-6d73-4855-84e3-14082613cc74,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3300.2091,E 209th & Hull
1,39,12,d1547fed-c93a-4604-8dcf-5f9487d3f3e9,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3300.2091,E 209th & Hull
1,40,12,a18fd877-5c4e-4bf5-8579-5a84ec58e0e8,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3300.2091,E 209th & Hull
1,41,12,0e2b3864-e52b-4702-8842-c917e6896fb3,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3300.2091,E 209th & Hull
1,42,12,a716c03c-e0a7-4ed4-8cb6-9d7a5b05a5fb,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3300.2091,E 209th & Hull
1,43,12,fd0f44ef-fb3e-4ea5-8d02-8956d607703d,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,2,4,0,0,Yes,,Building going under exterior construction,,3300.2091,E 209th & Hull
1,44,12,e17234d5-ea86-4e29-8bfd-b2d43d8f15bb,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,1,3,0,0,Yes,,No note on construction despite shed,,3300.2091,E 209th & Hull
1,45,12,cd12fc55-efd4-4b76-8d8d-cc58f16a2b51,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,1,3,0,0,Yes,,No sign of construction despite shed,,3300.2091,E 209th & Hull
1,46,12,8567dc38-234d-4997-8bb6-ddd62f36018d,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3300.2091,E 209th & Hull
1,47,12,e8935cd6-06ad-4fef-8297-2ae0b5474a30,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,0,No,,,,3300.2091,E 209th & Hull
1,48,12,b45b27db-2193-4875-80c1-9c7c5b698dae,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,0,0,No,,,,3300.2091,E 209th & Hull
0,49,-1,7fec9b0b-b728-491b-8899-d253afa7915f,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,0,0,No,,,,0,
1,50,13,7a03c95c-a861-45a1-8e7b-f8e27a3b6642,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,0,0,No,,,,3500.02,East Gun Hill & Hull
1,51,13,00af5668-b5e5-4e9f-8a26-0e6219a06d3b,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3500.02,East Gun Hill & Hull
1,52,13,d67908a7-b8cf-43fa-8eaa-7353ed08bf33,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3500.02,East Gun Hill & Hull
0,53,-1,72ecbdb3-2707-4202-88b8-c333a320e04e,04/15/2022,ar8618_Bard1,04/15/2022,ar8618_Bard1,1,5,5,2,Yes,,Building has Facade in very good condition. However sidewalk shed is present and bricks are missing from the top of the building.,,0,
1,54,13,89d6dfa6-e7fe-4bf5-8c33-3901b86c34bf,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,2,0,No,,,,3500.02,East Gun Hill & Hull
1,55,13,120d676b-8041-4c38-8526-7cec85e4c089,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3500.02,East Gun Hill & Hull
1,56,12,39dbb8ef-8270-4bfb-822e-28c4748002ea,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3300.2091,E 209th & Hull
1,57,11,0775bed0-2b2a-481a-8b04-168823ca6307,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,3,2,No,,,,3300.209,E 209th & Decatur
